Year,Tm,W,L,T,Div. Finish,Playoffs,PF,PA,PD,Off Pts Rank,Off Yds Rank,Def Pts Rank,Def Yds Rank,T/G,Pts_diff,Yds_diff,MoV,SoS,SRS,OSRS,DSRS
2016,DEN,9,7,0,3rd of 4,,333,297,36,22,27,4,4,13,9,14,2.3,1.8,4.0,-2.0,6.1
2015,DEN,12,4,0,1st of 4,Won SB,355,296,59,19,16,4,1,19,10,3,3.7,2.1,5.8,0.3,5.5
2014,DEN,12,4,0,1st of 4,Lost Div,482,354,128,2,4,16,3,11,4,2,8.0,1.6,9.6,9.2,0.4
2013,DEN,13,3,0,1st of 4,Lost SB,606,399,207,1,1,22,19,14,1,1,12.9,-1.6,11.4,14.1,-2.7
2012,DEN,13,3,0,1st of 4,Lost Div,481,289,192,2,4,4,2,17,2,1,12.0,-1.9,10.1,6.3,3.8
2021,DET,3,13,1,4th of 4,,325,467,-142,25,22,31,29,22,27,28,-8.4,0.6,-7.8,-3.5,-4.3
2020,DET,5,11,0,4th of 4,,377,519,-142,20,20,32,32,27,30,30,-8.9,1.2,-7.7,-1.0,-6.7
2019,DET,3,12,1,4th of 4,,341,423,-82,18,17,26,31,24,24,28,-5.1,-0.1,-5.2,-1.2,-4.0
2018,DET,6,10,0,4th of 4,,324,360,-36,25,24,16,10,23,21,21,-2.3,-0.8,-3.0,-3.3,0.3
2017,DET,9,7,0,2nd of 4,,410,376,34,7,13,21,27,5,13,19,2.1,0.6,2.7,5.2,-2.5
2016,DET,9,7,0,2nd of 4,Lost WC,346,358,-12,20,21,13,18,20,21,24,-0.8,-0.6,-1.4,-1.3,-0.1
2015,DET,7,9,0,3rd of 4,,358,400,-42,18,20,23,18,22,18,17,-2.6,2.4,-0.2,1.0,-1.3
2014,DET,11,5,0,2nd of 4,Lost WC,321,282,39,22,19,3,2,6,13,5,2.4,-0.4,2.1,-3.2,5.2
2013,DET,7,9,0,3rd of 4,,395,376,19,13,6,15,16,28,13,5,1.2,-2.8,-1.6,-1.2,-0.5
2012,DET,4,12,0,4th of 4,,372,437,-65,17,3,27,13,30,23,2,-4.1,1.8,-2.3,2.1,-4.4
2021,GB,13,4,0,1st of 4,Lost Div,450,371,79,10,10,13,9,3,10,7,4.6,-0.2,4.4,3.5,1.0
2020,GB,13,3,0,1st of 4,Lost Conf,509,369,140,1,5,13,9,7,3,6,8.8,-1.1,7.7,5.9,1.8
2019,GB,13,3,0,1st of 4,Lost Conf,376,313,63,15,18,9,18,3,9,16,3.9,-0.7,3.2,0.6,2.6
2018,GB,6,9,1,3rd of 4,,376,400,-24,14,12,22,18,19,19,14,-1.5,-1.2,-2.7,0.0,-2.7
2017,GB,7,9,0,3rd of 4,,320,384,-64,21,26,26,22,20,23,27,-4.0,2.1,-1.9,-0.3,-1.6
2016,GB,10,6,0,1st of 4,Lost Conf,432,388,44,4,8,21,22,6,8,16,2.8,0.1,2.8,4.9,-2.0
2015,GB,10,6,0,2nd of 4,Lost Div,368,323,45,15,23,12,15,10,11,19,2.8,2.5,5.3,2.0,3.3
2014,GB,12,4,0,1st of 4,Lost Conf,486,348,138,1,6,13,15,1,3,6,8.6,-0.3,8.3,7.9,0.4
2013,GB,8,7,1,1st of 4,Lost WC,417,428,-11,8,3,24,25,19,16,8,-0.7,-2.4,-3.1,0.5,-3.6
2012,GB,11,5,0,1st of 4,Lost Div,433,336,97,5,13,11,11,10,7,9,6.1,1.2,7.3,4.9,2.4
2021,HOU,4,13,0,3rd of 4,,280,452,-172,30,32,27,31,12,30,32,-10.1,0.4,-9.7,-6.3,-3.4
2020,HOU,4,12,0,3rd of 4,,384,464,-80,18,13,27,30,27,26,27,-5.0,-0.5,-5.5,-1.4,-4.1
2019,HOU,10,6,0,1st of 4,Lost Div,378,385,-7,14,13,19,28,15,15,20,-0.4,1.0,0.5,1.0,-0.5
2018,HOU,11,5,0,1st of 4,Lost WC,402,316,86,11,15,4,12,2,9,13,5.4,-1.5,3.8,2.4,1.4
2017,HOU,4,12,0,3rd of 4,,338,436,-98,17,20,32,20,28,28,24,-6.1,-0.3,-6.4,-0.8,-5.6
2016,HOU,9,7,0,1st of 4,Lost Div,279,328,-49,28,29,11,1,26,26,10,-3.1,0.4,-2.6,-5.3,2.7
2015,HOU,9,7,0,1st of 4,Lost WC,339,313,26,21,19,7,3,10,12,6,1.6,-2.4,-0.8,-3.3,2.6
2014,HOU,9,7,0,2nd of 4,,372,307,65,14,17,7,16,2,11,19,4.1,-2.3,1.7,-0.8,2.5
2013,HOU,2,14,0,4th of 4,,276,428,-152,31,11,24,7,32,31,6,-9.5,1.9,-7.6,-5.0,-2.6
2012,HOU,12,4,0,1st of 4,Lost Div,416,331,85,8,7,9,7,7,8,6,5.3,-1.8,3.5,1.8,1.7
2021,IND,9,8,0,2nd of 4,,451,365,86,9,16,9,16,1,7,18,5.1,-0.6,4.4,3.3,1.1
2020,IND,11,5,0,2nd of 4,Lost WC,451,362,89,9,10,10,8,2,8,7,5.6,-2.8,2.8,1.2,1.6
2019,IND,7,9,0,3rd of 4,,361,373,-12,16,25,18,16,12,17,18,-0.8,-1.1,-1.8,-1.0,-0.8
2018,IND,10,6,0,2nd of 4,Lost Div,433,344,89,5,7,10,11,13,8,4,5.6,-2.2,3.4,3.9,-0.6
2017,IND,4,12,0,3rd of 4,,263,404,-141,30,31,30,30,12,30,32,-8.8,-1.3,-10.1,-6.1,-4.0
2016,IND,8,8,0,3rd of 4,,411,392,19,8,10,22,30,24,16,26,1.2,-0.8,0.4,3.1,-2.7
2015,IND,8,8,0,2nd of 4,,333,408,-75,24,28,25,26,22,25,30,-4.7,-2.0,-6.7,-3.1,-3.6
2014,IND,11,5,0,1st of 4,Lost Conf,458,369,89,6,3,19,11,22,7,3,5.6,-1.1,4.4,5.2,-0.8
2013,IND,11,5,0,1st of 4,Lost Div,391,336,55,14,15,9,20,3,10,20,3.4,0.6,4.0,1.7,2.3
2012,IND,11,5,0,2nd of 4,Lost WC,357,387,-30,18,10,21,26,26,21,18,-1.9,-2.8,-4.7,-1.9,-2.8
2021,JAX,3,14,0,4th of 4,,253,457,-204,32,27,28,20,32,32,26,-12.0,0.6,-11.4,-7.7,-3.7
2020,JAX,1,15,0,4th of 4,,306,492,-186,30,28,31,31,26,31,31,-11.6,-0.1,-11.7,-6.5,-5.3
2019,JAX,6,10,0,4th of 4,,300,397,-97,26,20,21,24,18,26,24,-6.1,-0.6,-6.7,-4.6,-2.1
2018,JAX,5,11,0,4th of 4,,245,316,-71,31,27,4,5,29,24,22,-4.4,0.4,-4.0,-8.1,4.0
2017,JAX,10,6,0,1st of 4,Lost Conf,417,268,149,5,6,2,2,5,3,2,9.3,-2.8,6.5,3.0,3.6
2016,JAX,3,13,0,4th of 4,,318,400,-82,25,23,25,6,30,27,11,-5.1,0.2,-5.0,-2.7,-2.3
2015,JAX,5,11,0,3rd of 4,,376,448,-72,14,18,31,24,29,23,22,-4.5,-3.0,-7.5,-0.7,-6.9
2014,JAX,3,13,0,3rd of 4,,249,412,-163,32,31,26,26,25,30,32,-10.2,-0.3,-10.5,-7.8,-2.7
2013,JAX,4,12,0,3rd of 4,,247,449,-202,32,31,28,27,23,32,32,-12.6,1.5,-11.1,-7.1,-4.0
2012,JAX,2,14,0,4th of 4,,255,444,-189,30,29,29,30,21,31,32,-11.8,-1.1,-13.0,-8.1,-4.9
